tweet_id,review_text,hs,m_hs,annotation_id,created_at,updated_at,phase,lead_time,annotator_name,source
1482699277923196928,@TwitterUser Ich habe wenig Erfahrung mit Lesben. Sie sehen aber irgendwie immer zerknirscht und unzufrieden aus. Schwule dagegen: immer happy.,1,1,2967,2022-03-16T14:28:11.118582Z,2022-03-16T14:28:11.118607Z,1,33.156,phase1,gmhp7k
1454477698068368896,@TwitterUser Geh scheissen,0,0,1794,2022-03-12T15:18:45.638441Z,2022-03-12T15:18:45.638460Z,1,18.517,phase1,gmhp7k
1438088076987878912,@TwitterUser Baerziege wäre richtig gegendert.,1,1,1777,2022-03-12T15:15:32.502179Z,2022-03-12T15:15:32.502199Z,1,50.319,phase1,gmhp7k
1092150267569758208,"@TwitterUser Tja, Scharia für alle. Unverschleierte Frauen sind Huren und ihre Männer sind Weichlinge. Es lebe der Islam.",1,1,1758,2022-03-12T15:13:05.597979Z,2022-03-12T15:13:05.597999Z,1,29.879,phase1,10.1016/j.osnem.2020.100071
1460158388260811008,"impfung ist kein berufsrisiko, du pfosten.",1,0,1663,2022-03-12T14:56:26.630136Z,2022-03-12T14:56:26.630154Z,1,18.703,phase1,gmhp7k
1476573939656761346,Manchmal bin ich die bad bitch die ich bin und manchmal vermisse ich ihn,0,0,6557,2022-04-03T11:58:20.240914Z,2022-04-03T11:58:20.240931Z,1,4.727,phase1,gmhp7k
1155825610838728960,@TwitterUser B wie Behindert,1,0,6285,2022-03-31T20:39:27.032889Z,2022-03-31T20:39:27.032907Z,1,7.095,phase1,gmhp7k
1129457783961719040,@TwitterUser Die GRÜNEN outen sich auch als Sprachrohr der Pädophilen und Kinderschänder und fordern nach einem Kind…,1,0,6142,2022-03-31T19:52:26.569317Z,2022-03-31T19:52:26.569336Z,1,5.923,phase1,gmhp7k
1480597033312562944,@TwitterUser Diese Frau hat den Verstand von Eierlikör.,1,0,8263,2022-04-13T07:57:06.088340Z,2022-04-13T07:57:06.088359Z,1,127.502,phase1,gmhp7k
hasoc_de_2933,@TwitterUser Drecks Pack 🤮,1,0,8008,2022-04-10T21:15:10.310530Z,2022-04-10T21:15:10.310552Z,1,3.498,phase1,hasoc_2019
1481284796882075904,"@TwitterUser Macht nichts! Sowas brauch sich auch nicht vermehren. Die labert genug Scheiße. Muß sie nicht noch, genetisch, weitergeben.",1,0,18,2022-02-16T15:13:12.162392Z,2022-02-16T15:13:12.162407Z,1,238.365,phase1,gmhp7k
